statistic_id,section,metric,scope,as_of_date,value,value_text,unit,numerator,denominator,sample_size,coverage_percent,lower_quartile,median,upper_quartile,currency,billing_period,cohort_year_start,cohort_year_end,qualification
directory_active_records,directory_and_publishing,Active non-duplicate club records,All Country of Clubs regions,2026-08-28,3840,"3,840",records,,,3840,100,,,,,,,,"Principal aggregate scope; active and non-duplicate records only."
directory_regions,directory_and_publishing,State or regional directories,All Country of Clubs regions,2026-08-28,53,53,directories,,,53,,,,,,,,,"Distinct state or regional directories represented by the active aggregate."
canonical_database_records,directory_and_publishing,Canonical database records,Canonical database,2026-08-28,4532,"4,532",records,,,4532,,,,,,,,,"Includes records beyond the principal active aggregate."
generated_pages,directory_and_publishing,Generated club pages,Canonical database,2026-08-28,3897,"3,897",pages,,,3897,,,,,,,,,"Generated pages present at the snapshot date."
index_eligible_pages,directory_and_publishing,Pages satisfying search-indexing requirements,Canonical database,2026-08-28,3020,"3,020",pages,,,3020,,,,,,,,,"Eligibility reflects the indexing rules active at the snapshot date."
access_type_researched,access_type,Records with documented access type,All Country of Clubs regions,2026-08-28,3838,"3,838",records,,,3838,99.9,,,,,,,,"Researched denominator for access-type distribution."
access_private_membership,access_type,Private membership,All Country of Clubs regions,2026-08-28,72.6,72.6%,percent,2788,3838,3838,99.9,,,,,,,,"Share of records with a documented access type."
access_other,access_type,Other documented access,All Country of Clubs regions,2026-08-28,10.2,10.2%,percent,392,3838,3838,99.9,,,,,,,,"Share of records with a documented access type."
access_residential,access_type,Residential or property-owner,All Country of Clubs regions,2026-08-28,7.3,7.3%,percent,282,3838,3838,99.9,,,,,,,,"Share of records with a documented access type."
access_semi_private,access_type,Semi-private,All Country of Clubs regions,2026-08-28,5.1,5.1%,percent,197,3838,3838,99.9,,,,,,,,"Share of records with a documented access type."
access_public_municipal,access_type,Public or municipal,All Country of Clubs regions,2026-08-28,3.3,3.3%,percent,128,3838,3838,99.9,,,,,,,,"Share of records with a documented access type."
access_resort,access_type,Resort,All Country of Clubs regions,2026-08-28,1.3,1.3%,percent,51,3838,3838,99.9,,,,,,,,"Share of records with a documented access type."
price_any_comparable,price_coverage,Records with at least one comparable membership price,All Country of Clubs regions,2026-08-28,54.4,54.4%,percent,2089,3840,3840,100,,,,,,,,"Contains at least one comparable membership price meeting benchmark rules."
price_initiation_comparable,price_coverage,Records with comparable initiation fee,All Country of Clubs regions,2026-08-28,48.3,48.3%,percent,1853,3840,3840,100,,,,,,,,"Contains a comparable initiation fee meeting benchmark rules."
price_recurring_dues_comparable,price_coverage,Records with comparable recurring dues,All Country of Clubs regions,2026-08-28,39.4,39.4%,percent,1513,3840,3840,100,,,,,,,,"Contains comparable recurring dues meeting benchmark rules."
first_year_cost_median,price_benchmark,Documented minimum first-year cost median,All Country of Clubs regions,2026-08-28,32302.50,"$32,302.50",currency,,,1026,,11355,32302.50,87072,USD,first year,2024,2026,"Comparable individual or standard-tier records only; middle 50% shown by quartiles."
initiation_fee_median,price_benchmark,Documented initiation-fee median,All Country of Clubs regions,2026-08-28,25000,"$25,000",currency,,,1262,,5000,25000,75000,USD,one time,2024,2026,"Comparable individual or standard-tier records only; middle 50% shown by quartiles."
monthly_dues_median,price_benchmark,Documented monthly-dues median,All Country of Clubs regions,2026-08-28,625,$625,currency,,,983,,370,625,1000,USD,monthly,2024,2026,"Comparable individual or standard-tier records only; middle 50% shown by quartiles."
multiple_golf_courses,amenities_and_facilities,Records documenting multiple golf courses,All Country of Clubs regions,2026-08-28,10.9,10.9%,percent,419,3840,3840,100,,,,,,,,"All active-scope records have a researched course-count value."
documented_golf_courses,golf_course_scale,Total documented golf courses,All Country of Clubs regions,2026-08-28,4457,"4,457",courses,,,3840,100,,,,,,,,"Total across active-scope records with a known course count."
median_course_count,golf_course_scale,Median documented course count,All Country of Clubs regions,2026-08-28,1,1,courses,,,3840,100,,1,,,,,,"Median across active-scope records with a known course count."
founding_year_median,founding_year,Median documented founding year,All Country of Clubs regions,2026-08-28,1925,1925,year,,,1584,41.3,1912,1925,1967,,,,,"Records with a usable documented founding year; middle 50% shown by quartiles."
